43,Квадрокоптеры,7bbf571f-adc6-4a6b-95c5-b23a14c4c719,https://www.detmir.ru/catalog/index/name/vertolety_i_samolety/,3,c7089120-74ed-4f82-98f1-4c35f6afc6ed
44,Радиоуправляемые интерактивные роботы,1e300c86-4ec9-4922-818d-ae16d9400401,https://www.detmir.ru/catalog/index/name/roboty/,3,c7089120-74ed-4f82-98f1-4c35f6afc6ed
45,Радиоуправляемые вертолеты,733bc69c-be27-4909-8926-37586b13b88a,https://www.detmir.ru/catalog/index/name/helicopter/,3,c7089120-74ed-4f82-98f1-4c35f6afc6ed
46,Радиоуправляемые животные,87bfa18c-149f-4f73-a857-b2ce0a20bdd8,https://www.detmir.ru/catalog/index/name/animals_rc/,3,c7089120-74ed-4f82-98f1-4c35f6afc6ed
47,Радиоуправляемые самолеты,eb06c688-8e07-49b0-b636-4e5f099a1b35,https://www.detmir.ru/catalog/index/name/radio_controlled_airplanes/,3,c7089120-74ed-4f82-98f1-4c35f6afc6ed
48,Радиоуправляемые катера,4fa8a659-5ad9-4f44-9d20-ed1343fb45b2,https://www.detmir.ru/catalog/index/name/katery/,3,c7089120-74ed-4f82-98f1-4c35f6afc6ed
49,Радиоуправляемая строительная техника,a21c66c5-cdc5-48e3-b5cb-9e61ae8f5123,https://www.detmir.ru/catalog/index/name/radiocontrolled_construction_equipment/,3,c7089120-74ed-4f82-98f1-4c35f6afc6ed
50,Радиоуправляемая военная техника,f679ca95-838b-4f97-bcc6-76ea68027b2a,https://www.detmir.ru/catalog/index/name/military_equipment/,3,c7089120-74ed-4f82-98f1-4c35f6afc6ed
51,Игровые наборы и фигурки,89e6e36c-f002-48f7-bea7-7c1fee8f3eaf,https://www.detmir.ru/catalog/index/name/playsets_figures/,2,2e2d6f47-5b97-4bae-8672-e8ee21fdc122
52,Фигурки мультипликационные для мальчиков,a68ef0e0-1a50-49a2-af2d-5544469b2e94,https://www.detmir.ru/catalog/index/name/sets_cartoon_characters/,3,89e6e36c-f002-48f7-bea7-7c1fee8f3eaf
53,Фигурки из мультфильмов для девочек,ff3daee5-88b4-4a82-b60a-fd78ba66236a,https://www.detmir.ru/catalog/index/name/cartoon_heroes/,3,89e6e36c-f002-48f7-bea7-7c1fee8f3eaf
54,Роботы и трансформеры,a35568d6-d36e-4ca7-8a4b-86258720fbd3,https://www.detmir.ru/catalog/index/name/transformery/,3,89e6e36c-f002-48f7-bea7-7c1fee8f3eaf
55,Фигурки и наборы для девочек,9ccefd7d-ccb5-4ce3-8b49-669469570c87,https://www.detmir.ru/catalog/index/name/interaktivnye_igrushki/,3,89e6e36c-f002-48f7-bea7-7c1fee8f3eaf
56,"Животные, птицы, рыбы и рептилии",45bc38ac-4280-4a4b-80c2-cea2a2ac9a04,https://www.detmir.ru/catalog/index/name/jivotnie/,3,89e6e36c-f002-48f7-bea7-7c1fee8f3eaf
57,Солдатики и игровые военные наборы,42787be4-fb20-473a-93c4-f8ce953a8ae5,https://www.detmir.ru/catalog/index/name/military/,3,89e6e36c-f002-48f7-bea7-7c1fee8f3eaf
